id;naam;source;import_source;import_status;status;categorie;doel;trigger;systemen;stappen_count;stappen;webhook_paths;endpoints;gitlab_endpoint_method;gitlab_endpoint_path;gitlab_endpoint_handler;external_id;gitlab_file_path;hubspot_last_run_at;hubspot_run_count_365d;last_synced_at;approved_at;rejected_at;rejection_reason
AUTO-041;HubSpot Bankverbindingsstatus Bijwerken;gitlab;;approved;Inactief;Backend Script;"Dit script wijzigt de status van de bankverbinding van een bedrijf in HubSpot, wat vervolgens een workflow activeert om alle gerelateerde deals bij te werken.";API endpoint POST /portal/hubspot/bank_connection_status;GitLab | HubSpot;5;De API-aanvraag wordt ontvangen met administratiegegevens. | De aanvraag wordt geverifieerd met een API-sleutel. | De 'update_bank_connection_status' functie wordt aangeroepen via een rate-limited HubSpot API-aanroep. | De bankverbindingsstatus van het bedrijf wordt bijgewerkt in HubSpot. | Een succesbericht wordt teruggestuurd.;;/portal/hubspot/bank_connection_status;;;;app/API/portal.py;app/API/portal.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-042;Clockify Klant Bijwerken vanuit HubSpot;gitlab;;approved;Inactief;Backend Script;Dit script werkt een Clockify-klant bij of creëert deze op basis van gegevens uit HubSpot.;API endpoint POST /clockify/hubspot/upsert_client;GitLab | HubSpot | Clockify;6;"Het script ontvangt een POST-verzoek met HubSpot bedrijfsgegevens. | Het valideert de API-sleutel voor authenticatie. | Het probeert een Clockify-klant bij te werken of te creëren. | Als een klant met de HubSpot record-ID bestaat, wordt deze bijgewerkt en eventueel gearchiveerd. | Anders wordt een nieuwe klant aangemaakt met standaardprojecten/taken. | Het script retourneert de status van de bewerking of een fout als deze mislukt.";;/clockify/hubspot/upsert_client;;;;app/API/clockify.py;app/API/clockify.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-043;KVK Bedrijfssynchronisatie;gitlab;;approved;Inactief;Backend Script;Dit script synchroniseert bedrijfsgegevens vanuit de Kamer van Koophandel (KVK) op basis van een HubSpot webhook trigger.;API endpoint POST /kvk/hubspot/sync_company (HubSpot webhook);GitLab | HubSpot | KvK;5;"Controleer de API-sleutel voor authenticatie. | Valideer de inkomende HubSpot webhook-payload, inclusief bedrijfs-ID en optioneel KVK-nummer of RSIN. | Controleer of de synchronisatie voor dit bedrijf al bezig is of dat de verwerkingswachtrij vol is. | Plan een asynchrone achtergrondtaak om bedrijfsgegevens van de KVK op te halen en te synchroniseren. | Retourneer de status van de geplande synchronisatie naar HubSpot.";;/kvk/hubspot/sync_company;;;;app/API/kvk.py;app/API/kvk.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-044;HubSpot Operations API;gitlab;;approved;Inactief;Backend Script;"Beheert en automatiseert diverse operaties in HubSpot met betrekking tot deals, contacten, bedrijven en pipelines via een reeks API-endpoints.";API endpoint POST/GET /operations/*;GitLab | HubSpot | Sentry;5;"Definieert API-endpoints voor het beheren van HubSpot-entiteiten. | Ontvangt verzoeken via deze endpoints voor specifieke operaties. | Communiceert met de HubSpot API om deals, contacten, bedrijven en pipelines te manipuleren. | Voert sommige operaties asynchroon uit als achtergrondtaken. | Registreert fouten en uitzonderingen met Sentry.";;/operations/hubspot/owner | /operations/hubspot/new_pipeline/deal/amount | /operations/hubspot/contact/updating_dealname | /operations/hubspot/company/updating_dealname | /operations/hubspot/dossiers/{contact_id} | /operations/hubspot/deal/delete_vat_deal | /operations/hubspot/workflows/pipeline_usage | /operations/hubspot/active_pipelines | /operations/hubspot/betaalt_niet | /operations/hubspot/reset_betaalt_niet | /operations/get_company_deals | /operations/hubspot/clone_pipeline | /operations/hubspot/create_new_deal | /operations/hubspot/put_active_deals_in_new_deal | /operations/hubspot/btw_dealstage_based_on_bank_connection | /operations/hubspot/berekening_compleet | /operations/hubspot/move_dm_deal_to_geen_ib;;;;app/API/operations.py;app/API/operations.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-045;Typeform Webhook Verwerking;gitlab;;approved;Inactief;Backend Script;Dit script verwerkt inkomende webhooks van Typeform om formulierinzendingen te verwerken.;API endpoint POST /typeform/webhook;GitLab | Typeform | Sentry;5;"De API ontvangt een POST-verzoek op `/typeform/webhook`. | De handtekening van het Typeform-verzoek wordt geverifieerd op geldigheid. | De JSON payload wordt geparsed en een achtergrondtaak wordt gestart. | De achtergrondtaak roept de `process_typeform_webhook` functie aan. | Verwerking wordt gelogd; eventuele fouten worden vastgelegd met Sentry.";;/typeform/webhook;;;;app/API/typeform.py;app/API/typeform.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-046;"Beheer van Clockify klanten, projecten en taken";gitlab;;approved;Inactief;Backend Script;"Dit script beheert Clockify klanten, projecten en taken via de API.";Aangeroepen door een ander Python-script of handmatig;GitLab | Clockify;6;"Maakt verbinding met de Clockify API. | Hanteert rate-limiting om API-limieten te respecteren. | Kan klanten, projecten en taken opvragen. | Biedt functionaliteit om nieuwe klanten en projecten toe te voegen. | Maakt het mogelijk om projecten te archiveren. | Kan lijsten van klanten ophalen.";;;;;;app/service/clockify/clockify.py;app/service/clockify/clockify.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-047;Wefact debiteur upsert vanuit HubSpot;gitlab;;approved;Inactief;Backend Script;"Dit script synchroniseert debiteureninformatie van HubSpot naar Wefact, creëert nieuwe debiteuren of werkt bestaande bij.";API endpoint POST /wefact/hubspot/upsert_debtor;GitLab | HubSpot | Wefact;6;"De automatisering wordt geactiveerd door een POST-verzoek naar het `/wefact/hubspot/upsert_debtor` endpoint. | Het script ontvangt debiteureninformatie vanuit HubSpot. | Het zoekt een bestaande debiteur in Wefact op basis van het HubSpot ID of een opgegeven debiteurcode. | Indien gevonden en de gegevens identiek zijn, wordt er geen actie ondernomen (status 'noop'). | Anders wordt de debiteur in Wefact bijgewerkt of een nieuwe aangemaakt. | Als een nieuwe debiteur is aangemaakt, wordt de Wefact debiteurcode teruggeschreven naar de HubSpot bedrijfsgegevens.";;/wefact/hubspot/upsert_debtor | /wefact/hubspot/test_list;;;;app/API/wefact.py;app/API/wefact.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-048;Lead- en Dealbeheer voor Sales in HubSpot;gitlab;;approved;Inactief;Backend Script;Dit script verwerkt inkomende leads van verschillende bronnen en beheert deals in HubSpot.;"API endpoint POST naar diverse paden (bijv. /sales/leads/hubspot/trustoo, /sales/migrate_deals)";GitLab | HubSpot | Trustoo | Offerte.nl | Ligo | Solvari | Calendly;5;Ontvangen van inkomende leadgegevens via specifieke API-endpoints. | Authenticatie van inkomende verzoeken via API-sleutel of Basic Auth. | Formatteren en valideren van de leadgegevens indien nodig. | Toevoegen van de verwerkte lead aan HubSpot. | Optioneel: Migreren of kopiëren van deals tussen verschillende HubSpot-pipelines.;;/sales/leads/hubspot/trustoo | /sales/leads/hubspot/offerte.nl | /sales/leads/hubspot/ligo | /sales/leads/hubspot/solvari | /sales/leads/hubspot/calendly | /sales/migrate_deals;;;;app/API/sales.py;app/API/sales.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-049;HubSpot Deal Zoeker;gitlab;;approved;Inactief;Backend Script;Dit script controleert of deals of bedrijven al bestaan in specifieke HubSpot pipelines.;Aangeroepen door andere automatiseringen of handmatig;GitLab | HubSpot;4;"Haal deal-, bedrijf- en contactinformatie op uit HubSpot via het deal ID. | Genereer een potentiële nieuwe dealnaam op basis van de pipeline, contact- en bedrijfsnamen. | Zoek in HubSpot naar bestaande deals op basis van dealnaam en pipeline ID, of naar bedrijven op basis van bedrijfs-ID en pipeline. | Retourneer of een deal of bedrijf al aanwezig is in de opgegeven HubSpot pipeline.";;;;;;app/service/operations/deal_search.py;app/service/operations/deal_search.py;;;2026-05-05T08:44:32.673+00:00;;;
AUTO-050;HubSpot Deal Creatie;gitlab;;approved;Inactief;Backend Script;Dit script creëert nieuwe deals in HubSpot op basis van een opgegeven deal ID en wijst deze toe aan de juiste pipelines.;Intern aangeroepen met een deal ID;GitLab | HubSpot | Sentry;5;"Haal gelijktijdig gerelateerde informatie op uit HubSpot, zoals line-items, contact- en bedrijf-ID's en eigenaarsgegevens. | Bepaal het type klant op basis van bedrijfsinformatie en selecteer de juiste HubSpot pipelines. | Match producten van de line-items met de geselecteerde pipelines. | Controleer bestaande deals van het bedrijf en contactpersoon om context te creëren. | Verwerk de deals in HubSpot door nieuwe deals aan te maken of bestaande bij te werken binnen de correcte pipelines.";;;;;;app/service/operations/deal_creation.py;app/service/operations/deal_creation.py;;;2026-05-05T08:44:32.673+00:00;;;
